clientId,INC,ApnaDal,SP,RLD,BJP,BSP
c9719bed-afca-448c-872a-577bc1ac7c91,Very far,Very far,Very far,Very far,Inclined,Inclined
0f1734bb-0a71-4eff-9a6b-2bd47ad1b0d1,Far,Very far,Very inclined,Very far,Far,Far
ff0f7483-a1a4-42a1-a3cb-6042cd170a55,Very far,Very far,Very far,Very far,Very inclined,Very far
b6da4fb2-028b-4a9d-bbb1-500e5ac730b4,Very far,Very far,Very far,Very far,Very inclined,Very far
ec4dc755-27cd-495d-a1ee-3c88b3d366f4,Far,Very far,Very far,Very far,Inclined,Very far
4de30bd2-bff1-4994-8637-12d930767160,Very far,Very far,Inclined,Very far,Very far,Very far
11a23309-0814-4fcc-a652-931908d36547,Very far,Very far,Very far,Very far,Very inclined,Inclined
257c66a2-c4c2-4d0f-bf71-4756e42ff2db,Very far,Very far,Inclined,Very far,Very inclined,Very far
f5dbb204-1a5a-4b20-bb04-f68dc4afc5d6,Very far,Very far,Very far,Very far,Very inclined,Very far
0cbfa470-2f3b-4a3a-b46a-b10fdd8e1477,Far,Very far,Very inclined,Very far,Very inclined,Very far
e92240b0-7484-4857-940e-83dca7f77b92,Very inclined,Very inclined,Very inclined,Very inclined,Very inclined,Very inclined
73783413-c03f-4e78-983b-9ccd2177d7ce,Far,Far,Far,Far,Inclined,Far
2155d5e0-954c-4762-b6b3-e25078027e60,Very far,Very far,Very inclined,Very far,Very far,Very far
961377a0-61ca-4d8c-b4d8-49c4f4ce06b9,Very far,Inclined,Inclined,Inclined,Very inclined,Very far
5138cfe1-b6cd-4beb-bbbe-33dd545ca316,Very far,Very far,Inclined,Very far,Very inclined,Very far
aee2bdbb-6cf3-4349-86fd-564176486435,Very far,Very far,Very far,Very far,Very inclined,Very far
5a9f96cd-7dc5-4f17-b695-60bc7d82640c,Inclined,Very far,Very inclined,Very far,Very far,Very far
138f2d4f-d026-4a85-8375-660a9136e713,Very far,Very far,Very inclined,Very far,Very far,Very far
fd796adf-a6a8-4756-b004-bd3671e4c934,Very far,Very far,Very far,Far,Very inclined,Very far
fc450181-7ec1-467a-a7dc-141e2f621b64,Very far,Very far,Very far,Very far,Very inclined,Very far
6557be78-87d7-4ae2-9a79-1250130abbfa,Far,Far,Far,Far,Inclined,Far
0da39de5-da1a-4c0c-bc3f-143cb80955da,Very far,Very far,Very far,Very far,Very far,Inclined
a8c2fd33-1fc7-4aa8-9804-324ea17de337,Very far,Very far,Very far,Very far,Far,Very far
7452836b-5534-4fde-82b2-e8e2a3aba1f5,Inclined,Very far,Far,Very far,Inclined,Very far
8ecfd70f-950b-4240-b181-757606a834ab,Very far,Very far,Far,Very far,Inclined,Very far
50b19b43-e91e-48fa-9e07-b8f75039fdd4,Very far,Very far,Very far,Very far,Very inclined,Very far
ec85403c-36b7-4a1b-9954-4dd6f725a99a,Very far,Very far,Very far,Very far,Very inclined,Very far
18b1b816-2965-4a82-914e-c78f7868798c,Very far,Very far,Very far,Very far,Very inclined,Very far
2ed827bc-2977-4af1-8dce-dea52cc30df2,Very far,Very far,Very far,Very far,Very inclined,Very far
482443a8-54df-4459-aa28-5915e165f7e2,Very far,Very far,Very far,Very far,Very inclined,Very far
415adbf2-573b-4189-8b5d-f3c773a26d78,Very far,Very far,Very far,Very far,Very inclined,Very far
7ff59f8c-a4d9-43cf-88a4-65e1f241e71c,Very far,Very far,Very far,Very far,Very inclined,Very far
abf6c114-6321-4745-b90c-066848a97d09,Very far,Very far,Very far,Very far,Very inclined,Very far
39278784-1b42-4c00-9128-ae5a159d7345,Very far,Very far,Very far,Very far,Very inclined,Very far
3a7af893-1cfd-4b7c-87d0-b802702a1811,Very far,Very far,Very inclined,Very far,Very far,Very far
805f2fd8-8398-43de-bff8-027893d5bc3e,Very far,Very far,Very far,Very far,Very far,Very far
ac2fdbde-b8b8-40dc-b62b-6e5dda12e6b2,Far,Very far,Inclined,Very far,Inclined,Far
9c50f90d-9571-4396-931b-0d56f2c91482,Very far,Very far,Very far,Very far,Very far,Very far
546aa8f3-e508-4fad-8be6-87ea0176a5da,Very far,Very far,Very far,Very far,Very inclined,Very far
0303d9c7-fef9-49fa-93ea-6152fd6d7ebf,Very inclined,Very far,Very far,Very far,Very inclined,Very far
357be20a-1941-421b-af5a-4fb0a3d3a9b3,Very far,Very far,Very far,Very far,Very inclined,Very far
5da1813d-cf6b-481a-8568-0ef866a0ad0a,Far,Very far,Very far,Very far,Inclined,Very far
90f39230-6811-4e76-b62c-8bd69c09ffd1,Very inclined,Very far,Very far,Very far,Very inclined,Very far
c4f37593-e077-4a76-8a6f-758084e97dd2,Very far,Very far,Very far,Very far,Very inclined,Very far
9c430aba-0c7e-486d-bc52-01ab116cd722,Far,Far,Far,Far,Far,Far
6d4d13c6-78f7-4e5a-87c8-c3f72bb9215e,Very far,Very far,Very inclined,Very far,Very far,Very far
b3584cc2-a5f3-4218-afc7-5af00797d6c5,Very inclined,Very inclined,Very inclined,Very inclined,Very inclined,Very inclined
148cb9ec-6d88-4584-9ae6-1e9df1e108bc,Very far,Very far,Very far,Very far,Very inclined,Very far
598e7bfa-7b4b-49f1-a363-f91c24bf851f,Very far,Very far,Very far,Very far,Very inclined,Very far
60974c18-3f97-4f7b-8bcc-e02ba9af6286,Very far,Very far,Very far,Very far,Inclined,Very far
2a53e383-d9e0-4424-a19b-c0820f678490,Very far,Far,Inclined,Far,Inclined,Far
f0facaa6-3b68-4898-93be-d3b29fbe0666,Very far,Very far,Very far,Very far,Very inclined,Very far
d3974ec8-b7ba-487d-b2e4-12976089f29e,Inclined,Far,Very inclined,Far,Very far,Far
e170a62d-7058-484c-bfd6-a4a6eeb0fefc,Very far,Very far,Very far,Very far,Very inclined,Very far
